Count,Name,Color,Contents,ContentsRTF,Hyperlink,Layer,Linetype,Linetype Scale,Lineweight,Plot Style,Position X,Position Y,Position Z,Rotation,ShowBorders,Width
1,MText,21,Pipe - (13)\P305mm\P5.03m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (13)\par 305mm\par 5.03m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799033.46,2423882.67,0.00,302.22,True,10.60
1,MText,21,Pipe - (14)\P305mm\P6.73m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (14)\par 305mm\par 6.73m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799041.19,2423869.35,0.00,295.27,True,10.60
1,MText,21,Pipe - (19)\P305mm\P7.00m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (19)\par 305mm\par 7.00m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799056.72,2423774.13,-7.34,89.38,True,10.60
1,MText,21,Pipe - (20)\P305mm\P5.22m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (20)\par 305mm\par 5.22m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799064.35,2423757.65,0.00,86.03,True,10.60
1,MText,21,Pipe - (17)\P305mm\P5.73m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (17)\par 305mm\par 5.73m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799064.67,2423807.98,0.00,105.46,True,10.60
1,MText,21,Pipe - (18)\P305mm\P5.29m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (18)\par 305mm\par 5.29m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799071.25,2423798.07,0.00,89.77,True,10.60
1,MText,21,Pipe - (7)\P305mm\P6.32m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (7)\par 305mm\par 6.32m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798934.39,2423954.46,0.00,340.31,True,9.31
1,MText,21,Pipe - (8)\P305mm\P4.20m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (8)\par 305mm\par 4.20m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798955.25,2423946.55,0.00,345.15,True,9.31
1,MText,21,Pipe - (5)\P305mm\P6.36m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (5)\par 305mm\par 6.36m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798921.17,2423966.85,-3.77,84.85,True,9.31
1,MText,21,Pipe - (6)\P305mm\P5.61m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (6)\par 305mm\par 5.61m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798919.03,2423947.35,-4.07,82.48,True,9.31
1,MText,21,Pipe - (11)\P305mm\P7.16m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (11)\par 305mm\par 7.16m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799002.01,2423915.36,0.00,304.76,True,10.60
1,MText,21,Pipe - (12)\P305mm\P5.10m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (12)\par 305mm\par 5.10m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799025.40,2423898.74,0.00,302.33,True,10.60
1,MText,21,Pipe - (9)\P305mm\P9.33m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (9)\par 305mm\par 9.33m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798966.41,2423938.37,-4.37,330.45,True,9.31
1,MText,21,Pipe - (10)\P305mm\P4.86m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (10)\par 305mm\par 4.86m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798997.72,2423926.38,-3.96,338.76,True,10.60
1,MText,21,Pipe - (21)\P305mm\P6.73m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (21)\par 305mm\par 6.73m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799054.49,2423734.57,-7.94,85.21,True,10.60
1,MText,21,Pipe - (32)\P305mm\P4.34m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (32)\par 305mm\par 4.34m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799050.17,2423859.54,0.00,8.78,True,10.60
1,MText,21,Pipe - (33)\P305mm\P8.87m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (33)\par 305mm\par 8.87m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799069.25,2423863.68,0.00,17.56,True,10.60
1,MText,21,Pipe - (30)\P305mm\P5.73m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (30)\par 305mm\par 5.73m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799049.51,2423904.44,0.00,27.69,True,10.60
1,MText,21,Pipe - (31)\P305mm\P7.64m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (31)\par 305mm\par 7.64m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799029.92,2423852.72,0.00,14.13,True,10.60
1,MText,21,Pipe - (36)\P305mm\P5.51m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (36)\par 305mm\par 5.51m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799091.50,2423840.04,0.00,24.84,True,10.60
1,MText,21,Pipe - (37)\P305mm\P6.72m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (37)\par 305mm\par 6.72m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798925.28,2423812.72,-3.77,353.56,True,10.60
1,MText,21,Pipe - (34)\P305mm\P4.13m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (34)\par 305mm\par 4.13m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799054.79,2423818.33,-4.04,4.77,True,10.60
1,MText,21,Pipe - (35)\P305mm\P8.66m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (35)\par 305mm\par 8.66m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799067.92,2423832.17,0.00,35.45,True,10.60
1,MText,21,Pipe - (24)\P305mm\P7.21m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (24)\par 305mm\par 7.21m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798958.12,2423956.66,-3.78,64.83,True,10.60
1,MText,21,Pipe - (25)\P305mm\P4.41m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (25)\par 305mm\par 4.41m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798998.35,2423920.20,0.00,34.35,True,10.60
1,MText,21,Pipe - (22)\P305mm\P4.90m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (22)\par 305mm\par 4.90m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799060.61,2423712.49,0.00,87.46,True,10.60
1,MText,21,Pipe - (23)\P305mm\P3.86m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (23)\par 305mm\par 3.86m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,798948.90,2423943.89,0.00,58.26,True,10.60
1,MText,21,Pipe - (28)\P305mm\P7.67m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (28)\par 305mm\par 7.67m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799012.05,2423889.48,-3.79,16.79,True,10.60
1,MText,21,Pipe - (29)\P305mm\P5.66m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (29)\par 305mm\par 5.66m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799033.19,2423895.71,0.00,29.20,True,10.60
1,MText,21,Pipe - (26)\P305mm\P3.47m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (26)\par 305mm\par 3.47m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799023.42,2423936.44,0.00,46.71,True,10.60
1,MText,21,Pipe - (27)\P305mm\P4.72m,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red255\green159\blue127;}
\pard\plain\f0\cf0\fs48 Pipe - (27)\par 305mm\par 4.72m\par },,0,Continuous,1.00,ByLineWeight Default,Color_21,799008.18,2423932.18,0.00,31.27,True,10.60
1,MText,blue,Structure - (9)\P0.00mm\P-1.36m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (9)\par 0.00mm\par -1.36m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,798934.39,2423954.46,0.00,0.00,True,14.17
1,MText,blue,Structure - (67)\P0.00mm\P-1.22m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (67)\par 0.00mm\par -1.22m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,799106.06,2423798.02,0.00,0.00,True,15.47
1,MText,blue,Structure - (68)\P0.00mm\P-1.32m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (68)\par 0.00mm\par -1.32m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,799094.31,2423780.27,0.00,0.00,True,15.47
1,MText,blue,Structure - (64)\P0.00mm\P-1.22m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (64)\par 0.00mm\par -1.22m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,798996.18,2423769.85,0.00,0.00,True,15.47
1,MText,blue,Structure - (65)\P0.00mm\P-1.31m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (65)\par 0.00mm\par -1.31m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,798989.69,2423784.21,0.00,0.00,True,15.47
1,MText,blue,Structure - (71)\P0.00mm\P-1.57m\P0.00m2,{\rtf1\ansi{\fonttbl{\f0\fnil\fcharset0 Arial;}}
{\colortbl\red0\green0\blue255;}
\pard\plain\f0\cf0\fs48 Structure - (71)\par 0.00mm\par -1.57m\par 0.00m2\par },,0,Continuous,1.00,ByLineWeight Default,Color_5,799103.00,2423733.21,0.00,0.00,True,15.47
